"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted"
"2354",23.25,23.4424991607666,23.1474990844727,23.1975002288818,131745600,21.3065986633301
"2355",23.3325004577637,23.3924999237061,23.0275001525879,23.3549995422363,134747200,21.4512519836426
"2356",23.3700008392334,23.3924999237061,23.1149997711182,23.1275005340576,114876400,21.2423000335693
"2357",23.1800003051758,23.1949996948242,22.3675003051758,22.5849990844727,305258800,20.7440299987793
"2358",22.5,22.9174995422363,22.5,22.6299991607666,177571200,20.7853469848633
"2359",23.0974998474121,23.5974998474121,22.9125003814697,23.4699993133545,245039200,21.5568790435791
"2360",23.6375007629395,23.6749992370605,23.2525005340576,23.3724994659424,187667600,21.4673252105713
"2361",23.5400009155273,23.8024997711182,23.4724998474121,23.6399993896484,168249600,21.7130222320557
"2362",23.6599998474121,23.6599998474121,23.3924999237061,23.5499992370605,121768400,21.6303558349609
"2363",23.6599998474121,23.8575000762939,23.6299991607666,23.8050003051758,128104000,21.8645725250244
"2364",23.9675006866455,24.2975006103516,23.9174995422363,24.1075000762939,152074400,22.1424179077148
"2365",24.3050003051758,24.5224990844727,24.2099990844727,24.4750003814697,140560800,22.4799633026123
"2366",24.6674995422363,24.9349994659424,24.5275001525879,24.9050006866455,152675200,22.8749084472656
"2367",24.9200000762939,25.1825008392334,24.6599998474121,25.1025009155273,225324800,23.0563087463379
"2368",24.8600006103516,25.1175003051758,24.8125,25.0874996185303,145364800,23.0425338745117
"2369",24.8999996185303,25.1000003814697,24.7049999237061,24.9650001525879,169228800,22.9300193786621
"2370",24.7549991607666,24.8850002288818,24.5825004577637,24.6149997711182,116693200,22.6085472106934
"2371",24.3999996185303,24.4599990844727,24.1574993133545,24.4300003051758,160766400,22.4386329650879
"2372",24.4475002288818,24.5674991607666,24.3624992370605,24.4799995422363,114019600,22.4845561981201
"2373",24.4974994659424,25.4724998474121,24.3875007629395,24.6574993133545,93170000,22.6475868225098
"2374",24.8125,24.9675006866455,24.7399997711182,24.7574996948242,89638000,22.7394332885742
"2375",24.7549991607666,24.8899993896484,24.6700000762939,24.7350006103516,83392400,22.718770980835
"2376",24.625,24.9974994659424,24.6149997711182,24.9125003814697,106405600,22.8817920684814
"2377",24.6324996948242,24.8374996185303,24.6200008392334,24.7075004577637,126851600,22.6935062408447
"2378",24.6725006103516,24.7800006866455,24.2749996185303,24.3349990844727,152082000,22.3513698577881
"2379",24.3299999237061,24.6200008392334,24.1875,24.3649997711182,127727600,22.3789291381836
"2380",24.4549999237061,24.6025009155273,24.2574996948242,24.2849998474121,117780800,22.30544090271
"2381",24.1124992370605,24.4375,24.0174999237061,24.3875007629395,125307200,22.3995914459229
"2382",24.1550006866455,24.1625003814697,23.8250007629395,23.8325004577637,244032800,21.8898315429688
"2383",24,24.1424999237061,23.7574996948242,23.7749996185303,137647600,21.8370170593262
"2384",23.7350006103516,24.0874996185303,23.6700000762939,23.9775009155273,142185600,22.0230102539062
"2385",24.0625,24.2224998474121,23.8374996185303,23.8875007629395,116876400,21.9403457641602
"2386",23.9850006103516,24.0725002288818,23.8125,24.0249996185303,128960800,22.0666389465332
"2387",23.2275009155273,23.6650009155273,23.1625003814697,23.3500003814697,301245600,21.4466609954834
"2388",23.25,23.2625007629395,22.875,23.0100002288818,181958400,21.1343765258789
"2389",23.2250003814697,23.4150009155273,23.0349998474121,23.3974990844727,161779600,21.4902858734131
"2390",23.4925003051758,23.6375007629395,23.4074993133545,23.6000003814697,146124000,21.6762790679932
"2391",23.6100006103516,23.9424991607666,23.5750007629395,23.8999996185303,143345600,21.9518260955811
"2392",23.8724994659424,24.1175003051758,23.8325004577637,23.9724998474121,104106000,22.0184173583984
"2393",23.8474998474121,23.8500003814697,23.6149997711182,23.7474994659424,110820800,21.8117637634277
"2394",23.6499996185303,23.9150009155273,23.5925006866455,23.8824996948242,123796400,21.9357528686523
"2395",23.9249992370605,24.125,23.9050006866455,23.9850006103516,100558400,22.0299034118652
"2396",24.1224994659424,24.2224998474121,24.0125007629395,24.1700000762939,115648400,22.1998157501221
"2397",24.1875,24.4125003814697,24.1825008392334,24.2450008392334,95179600,22.2686996459961
"2398",24.2924995422363,24.4249992370605,24.2800006866455,24.3549995422363,96670000,22.3697395324707
"2399",24.3525009155273,24.4174995422363,24.2099990844727,24.2175006866455,103568800,22.2434501647949
"2400",24.3474998474121,24.7474994659424,24.3299999237061,24.6975002288818,155676000,22.6843204498291
"2401",24.7299995422363,24.8250007629395,24.625,24.6949996948242,120548000,22.6820240020752
"2402",24.6749992370605,25.0324993133545,24.6499996185303,24.9575004577637,145975600,22.9231262207031
"2403",24.8899993896484,25,24.8349990844727,24.9675006866455,95119600,22.9323139190674
"2404",25,25.1149997711182,24.9349994659424,24.9899997711182,105104000,22.9529819488525
"2405",24.9575004577637,25.25,24.7824993133545,24.8575000762939,130808000,22.8312835693359
"2406",24.8150005340576,24.8250007629395,24.5774993896484,24.6650009155273,113254800,22.6544704437256
"2407",24.5625,24.7099990844727,24.2299995422363,24.3349990844727,161531600,22.3513698577881
"2408",24.2049999237061,24.4925003051758,24.1049995422363,24.1674995422363,224959200,22.1975212097168
"2409",26.0674991607666,26.0874996185303,25.6875,25.7374992370605,369379200,23.6395454406738
"2410",25.7075004577637,26.1124992370605,25.7049999237061,26.0849990844727,159479200,23.9587211608887
"2411",26.0475006103516,26.1375007629395,25.9200000762939,26.0524997711182,110934800,23.9288749694824
"2412",26.1025009155273,26.5375003814697,26.1025009155273,26.5125007629395,152671600,24.3513774871826
"2413",26.5125007629395,26.5174999237061,26,26.1200008392334,135266400,23.9908676147461
"2414",26.2024993896484,26.4599990844727,26.1924991607666,26.4475002288818,120810400,24.291675567627
"2415",26.3950004577637,26.5,26.3199996948242,26.4675006866455,109634800,24.4417381286621
"2416",26.5674991607666,26.9125003814697,26.5450000762939,26.8700008392334,162213600,24.8134346008301
"2417",26.8799991607666,27.0925006866455,26.7900009155273,27.0925006866455,112148800,25.0189056396484
"2418",27.0575008392334,27.2350006103516,27.0025005340576,27.2024993896484,105260800,25.1204776763916
"2419",27.1774997711182,27.2250003814697,26.9400005340576,27,96034000,24.9334831237793
"2420",27.1299991607666,27.2325000762939,26.9624996185303,26.9825000762939,109938000,24.9173164367676
